País;Oro;Plata;Bronce;Total
 Estados Unidos;1069;842;744;2655
 Cuba;84;69;82;235
 Canadá;70;110;146;326
 Brasil;37;42;71;150
 Jamaica;26;36;25;87
 Argentina;21;26;30;77
 México;13;24;36;73
 Bahamas;8;2;6;16
 Colombia;5;13;16;34
 Venezuela;3;7;9;21
 Trinidad y Tobago;3;5;11;19
 República Dominicana;3;5;4;12
 Ecuador;3;2;0;5
 Chile;2;7;4;13
 Puerto Rico;2;2;6;10
 Uruguay;2;2;6;10
 Perú;1;3;0;4
 Costa Rica;1;1;2;4
 Granada;1;1;1;3
 Panamá;1;0;2;3
 Bermudas;1;0;1;2
 Surinam;1;0;1;2
 Haití;0;1;1;2
 Antillas Neerlandesas;0;1;0;1
 Guatemala;0;1;0;1
 Islas Vírgenes de los Estados Unidos;0;1;0;1
 Paraguay;0;1;0;1
 Barbados;0;0;1;1
 Guyana;0;0;1;1
Antigua y Barbuda;0;0;0;0
Aruba;0;0;0;0
Bolivia;0;0;0;0
Islas Vírgenes Británicas;0;0;0;0
Dominica;0;0;0;0
El Salvador;0;0;0;0
Honduras;0;0;0;0
San Cristóbal y Nieves;0;0;0;0
Nicaragua;0;0;0;0
Santa Lucía;0;0;0;0
San Vicente y las Granadinas;0;0;0;0
Islas Caimán;0;0;0;0
Belice;0;0;0;0
Estados Unidos;2066;1540;1107;4713
Cuba;908;621;597;2126
Canadá;491;722;854;2067
Brasil;383;402;588;1373
Argentina;327;365;468;1160
México;258;327;564;1149
Colombia;135;171;260;566
Venezuela;102;219;297;618
Chile;57;110;169;336
República Dominicana;40;75;129;244
Ecuador;38;37;76;151
Puerto Rico;33;86;148;266
Jamaica;31;48;69;148
Guatemala;22;24;48;94
Perú;19;40;89;148
Uruguay;12;29;50;91
Trinidad y Tobago;12;29;32;73
Bahamas;9;14;13;36
Costa Rica;6;6;13;25
Antillas Neerlandesas;5;9;17;31
El Salvador;4;8;16;28
Panamá;3;22;36;61
Surinam;3;2;5;10
Guyana;2;4;12;18
Santa Lucía;2;0;3;5
Paraguay;1;5;9;15
Barbados;1;4;11;16
Bolivia;1;4;8;13
Bermudas;1;4;4;9
Islas Caimán;1;4;1;6
Granada;1;3;2;6
Antigua y Barbuda;1;2;5;8
Islas Vírgenes Británicas;1;0;0;1
Nicaragua;0;4;10;14
Islas Vírgenes de los Estados Unidos;0;4;5;9
Honduras;0;3;5;8
Haití;0;2;5;7
Dominica;0;2;1;3
San Cristóbal y Nieves;0;2;1;3
Belice;0;0;2;2
San Vicente y las Granadinas;0;0;2;2
Aruba;0;0;1;1
