País;Total
 Estados Unidos;2655
 Cuba;235
 Canadá;326
 Brasil;150
 Jamaica;87
 Argentina;77
 México;73
 Bahamas;16
 Colombia;34
 Venezuela;21
 Trinidad y Tobago;19
 República Dominicana;12
 Ecuador;5
 Chile;13
 Puerto Rico;10
 Uruguay;10
 Perú;4
 Costa Rica;4
 Granada;3
 Panamá;3
 Bermudas;2
 Surinam;2
 Haití;2
 Antillas Neerlandesas;1
 Guatemala;1
 Islas Vírgenes de los Estados Unidos;1
 Paraguay;1
 Barbados;1
 Guyana;1
Antigua y Barbuda;0
Aruba;0
Bolivia;0
Islas Vírgenes Británicas;0
Dominica;0
El Salvador;0
Honduras;0
San Cristóbal y Nieves;0
Nicaragua;0
Santa Lucía;0
San Vicente y las Granadinas;0
Islas Caimán;0
Belice;0
Estados Unidos;4713
Cuba;2126
Canadá;2067
Brasil;1373
Argentina;1160
México;1149
Colombia;566
Venezuela;618
Chile;336
República Dominicana;244
Ecuador;151
Puerto Rico;266
Jamaica;148
Guatemala;94
Perú;148
Uruguay;91
Trinidad y Tobago;73
Bahamas;36
Costa Rica;25
Antillas Neerlandesas;31
El Salvador;28
Panamá;61
Surinam;10
Guyana;18
Santa Lucía;5
Paraguay;15
Barbados;16
Bolivia;13
Bermudas;9
Islas Caimán;6
Granada;6
Antigua y Barbuda;8
Islas Vírgenes Británicas;1
Nicaragua;14
Islas Vírgenes de los Estados Unidos;9
Honduras;8
Haití;7
Dominica;3
San Cristóbal y Nieves;3
Belice;2
San Vicente y las Granadinas;2
Aruba;1
